N,alpha,n_iter,p_pos,source,v,x_id
1000,1.68,9.0,0.25,SE,1.8606201414493473e-05,x
1000,1.68,9.0,0.25,EP,1e-11,x
1000,1.68,,0.25,mse,4.238816844911451e-21,x
1000,1.7,9.0,0.25,SE,2.8923492492848133e-07,x
1000,1.7,10.0,0.25,EP,9.999999999999998e-12,x
1000,1.7,,0.25,mse,4.0620653302092584e-21,x
1000,1.72,9.0,0.25,SE,1.2285499831706678e-10,x
1000,1.72,9.0,0.25,EP,1e-11,x
1000,1.72,,0.25,mse,2.8438686990432897e-24,x
1000,1.74,9.0,0.25,SE,9.999999999871022e-12,x
1000,1.74,10.0,0.25,EP,1e-11,x
1000,1.74,,0.25,mse,1.2350399968324691e-20,x
1000,1.76,9.0,0.25,SE,9.999999999869542e-12,x
1000,1.76,8.0,0.25,EP,6.197954517688294e-09,x
1000,1.76,,0.25,mse,3.1250644364385773e-15,x
1000,1.78,8.0,0.25,SE,7.1667432842335755e-06,x
1000,1.78,8.0,0.25,EP,1e-11,x
1000,1.78,,0.25,mse,2.0334856979234278e-20,x
1000,1.8,8.0,0.25,SE,3.400858901553445e-07,x
1000,1.8,8.0,0.25,EP,9.999999999999998e-12,x
1000,1.8,,0.25,mse,4.2748243634783094e-19,x
1000,1.82,8.0,0.25,SE,5.032513117377774e-09,x
1000,1.82,8.0,0.25,EP,1e-11,x
1000,1.82,,0.25,mse,1.909458502027357e-21,x
1000,1.84,8.0,0.25,SE,9.999999999863728e-12,x
1000,1.84,9.0,0.25,EP,1e-11,x
1000,1.84,,0.25,mse,1.4957464988815493e-21,x
1000,1.86,8.0,0.25,SE,9.999999999862133e-12,x
1000,1.86,8.0,0.25,EP,1e-11,x
1000,1.86,,0.25,mse,3.2781842869659532e-21,x
1000,1.8800000000000001,8.0,0.25,SE,9.999999999860723e-12,x
1000,1.8800000000000001,8.0,0.25,EP,1e-11,x
1000,1.8800000000000001,,0.25,mse,5.4903184397316586e-21,x
1000,1.9000000000000001,8.0,0.25,SE,9.999999999859169e-12,x
1000,1.9000000000000001,7.0,0.25,EP,1e-11,x
1000,1.9000000000000001,,0.25,mse,7.156357625850154e-20,x
1000,1.92,7.0,0.25,SE,1.284641362617045e-05,x
1000,1.92,7.0,0.25,EP,1e-11,x
1000,1.92,,0.25,mse,3.854688757369375e-19,x
1000,1.94,7.0,0.25,SE,2.4263205707529854e-06,x
1000,1.94,8.0,0.25,EP,1e-11,x
1000,1.94,,0.25,mse,3.629046132814647e-21,x
1000,1.96,7.0,0.25,SE,3.1067979104115866e-07,x
1000,1.96,8.0,0.25,EP,1e-11,x
1000,1.96,,0.25,mse,5.571000615487054e-21,x
1000,1.98,7.0,0.25,SE,2.4114486344434992e-08,x
1000,1.98,7.0,0.25,EP,1e-11,x
1000,1.98,,0.25,mse,2.607302741730203e-21,x
1000,2.0,7.0,0.25,SE,3.1096656416431257e-10,x
1000,2.0,7.0,0.25,EP,9.999999999999996e-12,x
1000,2.0,,0.25,mse,1.5027258741936186e-21,x
1000,0.02,3.0,0.5,SE,0.987334687185895,x
1000,0.02,4.0,0.5,EP,0.9872430844825756,x
1000,0.02,,0.5,mse,0.9939657423882856,x
1000,0.04,3.0,0.5,SE,0.9747813248830369,x
1000,0.04,5.0,0.5,EP,0.9743477596141915,x
1000,0.04,,0.5,mse,0.9763600472428536,x
1000,0.06,3.0,0.5,SE,0.9622955530848488,x
1000,0.06,5.0,0.5,EP,0.9628916447688486,x
1000,0.06,,0.5,mse,0.9510953522269678,x
1000,0.08,3.0,0.5,SE,0.9499862744830893,x
1000,0.08,5.0,0.5,EP,0.9493443591566152,x
1000,0.08,,0.5,mse,0.9582412534266385,x
1000,0.1,4.0,0.5,SE,0.937684527312275,x
1000,0.1,5.0,0.5,EP,0.9384168674267496,x
1000,0.1,,0.5,mse,0.9433501253591651,x
1000,0.12,4.0,0.5,SE,0.9255148018714467,x
1000,0.12,5.0,0.5,EP,0.9241110518764554,x
1000,0.12,,0.5,mse,0.8992893038923991,x
1000,0.14,4.0,0.5,SE,0.9134278924936935,x
1000,0.14,6.0,0.5,EP,0.9125816565363214,x
1000,0.14,,0.5,mse,0.9154357125731112,x
1000,0.16,4.0,0.5,SE,0.9014028017589145,x
1000,0.16,5.0,0.5,EP,0.9015931675388315,x
1000,0.16,,0.5,mse,0.8953117786709391,x
1000,0.18,4.0,0.5,SE,0.889486696247515,x
1000,0.18,6.0,0.5,EP,0.8896822956785805,x
1000,0.18,,0.5,mse,0.8848768997054623,x
1000,0.2,4.0,0.5,SE,0.8776372530098001,x
1000,0.2,6.0,0.5,EP,0.876676650420817,x
1000,0.2,,0.5,mse,0.8623648417644313,x
1000,0.22,4.0,0.5,SE,0.8658143214532132,x
1000,0.22,7.0,0.5,EP,0.8699791093362612,x
1000,0.22,,0.5,mse,0.8602637758116207,x
1000,0.24,4.0,0.5,SE,0.8541313904713137,x
1000,0.24,6.0,0.5,EP,0.8551734301351008,x
1000,0.24,,0.5,mse,0.8551282001634802,x
1000,0.26,4.0,0.5,SE,0.8424268050460368,x
1000,0.26,6.0,0.5,EP,0.8410475092266445,x
1000,0.26,,0.5,mse,0.8362558399652005,x
1000,0.28,4.0,0.5,SE,0.8309217036008776,x
1000,0.28,6.0,0.5,EP,0.8312211753095898,x
1000,0.28,,0.5,mse,0.823757108098688,x
1000,0.3,4.0,0.5,SE,0.8192360365892415,x
1000,0.3,7.0,0.5,EP,0.8187936391041636,x
1000,0.3,,0.5,mse,0.7844981002842097,x
1000,0.32,4.0,0.5,SE,0.8079210926503168,x
1000,0.32,7.0,0.5,EP,0.8136447909645665,x
1000,0.32,,0.5,mse,0.7940584071516066,x
1000,0.34,4.0,0.5,SE,0.7963261247104719,x
1000,0.34,7.0,0.5,EP,0.800900656350084,x
1000,0.34,,0.5,mse,0.796245782911308,x
1000,0.36,5.0,0.5,SE,0.7852557356057175,x
1000,0.36,8.0,0.5,EP,0.7853974346686453,x
1000,0.36,,0.5,mse,0.7968992900463074,x
1000,0.38,5.0,0.5,SE,0.7738609574203038,x
1000,0.38,7.0,0.5,EP,0.7707962583711389,x
1000,0.38,,0.5,mse,0.7812825085367677,x
1000,0.4,5.0,0.5,SE,0.7627323800125592,x
1000,0.4,6.0,0.5,EP,0.7646525955686948,x
1000,0.4,,0.5,mse,0.7451109600019472,x
1000,0.42,5.0,0.5,SE,0.7512562868928441,x
1000,0.42,7.0,0.5,EP,0.7548485214898148,x
1000,0.42,,0.5,mse,0.7585559638198025,x
1000,0.44,5.0,0.5,SE,0.7403462864452758,x
1000,0.44,8.0,0.5,EP,0.7367571310445111,x
1000,0.44,,0.5,mse,0.7307028138184138,x
1000,0.46,5.0,0.5,SE,0.7293220461989778,x
1000,0.46,8.0,0.5,EP,0.7312212959600654,x
1000,0.46,,0.5,mse,0.7215556714316381,x
1000,0.48,5.0,0.5,SE,0.7182095789347978,x
1000,0.48,7.0,0.5,EP,0.715051293094635,x
1000,0.48,,0.5,mse,0.7135949811868315,x
1000,0.5,5.0,0.5,SE,0.7071052954297756,x
1000,0.5,8.0,0.5,EP,0.7133685837957928,x
1000,0.5,,0.5,mse,0.7232467426957002,x
1000,0.52,5.0,0.5,SE,0.6959284013487197,x
1000,0.52,8.0,0.5,EP,0.6985786029292378,x
1000,0.52,,0.5,mse,0.6829268605902927,x
1000,0.54,6.0,0.5,SE,0.6849925834204241,x
1000,0.54,9.0,0.5,EP,0.6760059527726718,x
1000,0.54,,0.5,mse,0.6596616464518624,x
1000,0.56,6.0,0.5,SE,0.6742245683918394,x
1000,0.56,8.0,0.5,EP,0.6755874437001039,x
1000,0.56,,0.5,mse,0.6926051153551004,x
1000,0.58,6.0,0.5,SE,0.6633307971315238,x
1000,0.58,9.0,0.5,EP,0.6614397015619249,x
1000,0.58,,0.5,mse,0.673845152454062,x
