N,alpha,n_iter,prior_mean,source,v,x_id
1000,1.06,117.0,0.01,EP,0.4800042959039955,x
1000,1.06,,0.01,mse,0.508373885286031,x
1000,1.06,,0.01,phase_mse,0.45921146660699047,x
1000,1.08,200.0,0.01,SE,0.4848831420183324,x
1000,1.08,200.0,0.01,EP,0.501153515498793,x
1000,1.08,,0.01,mse,0.5039406960827586,x
1000,1.08,,0.01,phase_mse,0.492735011535101,x
1000,1.1,200.0,0.01,SE,0.48042667928017063,x
1000,1.1,200.0,0.01,EP,0.48296043562082047,x
1000,1.1,,0.01,mse,0.5049520415304057,x
1000,1.1,,0.01,phase_mse,0.45330895265906473,x
1000,1.12,200.0,0.01,SE,0.4758969516440939,x
1000,1.12,200.0,0.01,EP,0.5077469261232032,x
1000,1.12,,0.01,mse,0.5532433772709063,x
1000,1.12,,0.01,phase_mse,0.5305053898720062,x
1000,1.1400000000000001,200.0,0.01,SE,0.4706161643402348,x
1000,1.1400000000000001,200.0,0.01,EP,0.4597147670978764,x
1000,1.1400000000000001,,0.01,mse,0.5055080193705547,x
1000,1.1400000000000001,,0.01,phase_mse,0.48349356206429683,x
1000,1.16,200.0,0.01,SE,0.46553969764281156,x
1000,1.16,144.0,0.01,EP,0.4465360494012996,x
1000,1.16,,0.01,mse,0.47766578381361796,x
1000,1.16,,0.01,phase_mse,0.43260551834475075,x
1000,1.18,200.0,0.01,SE,0.45993483644690664,x
1000,1.18,200.0,0.01,EP,0.4401166122771397,x
1000,1.18,,0.01,mse,0.5541004516967992,x
1000,1.18,,0.01,phase_mse,0.4157917194538363,x
1000,1.2,200.0,0.01,SE,0.45433051591413903,x
1000,1.2,200.0,0.01,EP,0.48593383107538707,x
1000,1.2,,0.01,mse,0.5966672006539523,x
1000,1.2,,0.01,phase_mse,0.47011450554848067,x
1000,1.22,200.0,0.01,SE,0.44735543178381487,x
1000,1.22,200.0,0.01,EP,0.4553393853730776,x
1000,1.22,,0.01,mse,0.68026782079336,x
1000,1.22,,0.01,phase_mse,0.45249088215665123,x
1000,1.24,196.0,0.01,SE,0.44164994731439683,x
1000,1.24,200.0,0.01,EP,0.46248749203281986,x
1000,1.24,,0.01,mse,0.5663802034207647,x
1000,1.24,,0.01,phase_mse,0.44979463996948144,x
1000,1.26,193.0,0.01,SE,0.4356353860595594,x
1000,1.26,90.0,0.01,EP,0.4378327855031737,x
1000,1.26,,0.01,mse,0.7499031702758712,x
1000,1.26,,0.01,phase_mse,0.42660918451710156,x
1000,1.28,189.0,0.01,SE,0.42736934247143327,x
1000,1.28,200.0,0.01,EP,0.4162184886634222,x
1000,1.28,,0.01,mse,0.5749955037616915,x
1000,1.28,,0.01,phase_mse,0.3958162056494211,x
1000,1.3,187.0,0.01,SE,0.4190093215860024,x
1000,1.3,200.0,0.01,EP,0.4624255932411287,x
1000,1.3,,0.01,mse,0.731889347942926,x
1000,1.3,,0.01,phase_mse,0.44853342135864727,x
1000,1.32,186.0,0.01,SE,0.4110052970437715,x
1000,1.32,200.0,0.01,EP,0.4604671358618122,x
1000,1.32,,0.01,mse,0.5915569604090948,x
1000,1.32,,0.01,phase_mse,0.5161091704849925,x
1000,1.34,186.0,0.01,SE,0.40207429264079336,x
1000,1.34,200.0,0.01,EP,0.3851836444682637,x
1000,1.34,,0.01,mse,0.8330143930385983,x
1000,1.34,,0.01,phase_mse,0.3639874240236724,x
1000,1.36,186.0,0.01,SE,0.3925311758557186,x
1000,1.36,107.0,0.01,EP,0.3202940181815809,x
1000,1.36,,0.01,mse,0.3896902202657107,x
1000,1.36,,0.01,phase_mse,0.3835858804022603,x
1000,1.3800000000000001,188.0,0.01,SE,0.38181304744343736,x
1000,1.3800000000000001,155.0,0.01,EP,0.3356488552033715,x
1000,1.3800000000000001,,0.01,mse,0.5936900669661157,x
1000,1.3800000000000001,,0.01,phase_mse,0.3396999591833405,x
1000,1.4000000000000001,190.0,0.01,SE,0.3709935546317831,x
1000,1.4000000000000001,200.0,0.01,EP,0.4148278673193984,x
1000,1.4000000000000001,,0.01,mse,0.5309061374937076,x
1000,1.4000000000000001,,0.01,phase_mse,0.4328213267954534,x
1000,1.42,193.0,0.01,SE,0.35970209725977303,x
1000,1.42,128.0,0.01,EP,0.3509983798781304,x
1000,1.42,,0.01,mse,0.9657972473764456,x
1000,1.42,,0.01,phase_mse,0.3559486992348618,x
1000,1.44,198.0,0.01,SE,0.34642143545689974,x
1000,1.44,200.0,0.01,EP,0.3583094443920154,x
1000,1.44,,0.01,mse,1.1961280114745176,x
1000,1.44,,0.01,phase_mse,0.3405631319261185,x
1000,1.46,200.0,0.01,SE,0.3324386560922988,x
1000,1.46,200.0,0.01,EP,0.3623700494914591,x
1000,1.46,,0.01,mse,0.7968038040295445,x
1000,1.46,,0.01,phase_mse,0.4533456813884524,x
1000,1.48,200.0,0.01,SE,0.31547851280047556,x
1000,1.48,157.0,0.01,EP,0.34152135575848114,x
1000,1.48,,0.01,mse,0.35627331444743526,x
1000,1.48,,0.01,phase_mse,0.35627331444743526,x
1000,1.5,200.0,0.01,SE,0.2991275321254215,x
1000,1.5,200.0,0.01,EP,0.36537393509875554,x
1000,1.5,,0.01,mse,0.785439622434712,x
1000,1.5,,0.01,phase_mse,0.5507123018938062,x
1000,1.52,200.0,0.01,SE,0.27944609417867505,x
1000,1.52,129.0,0.01,EP,0.337720702136062,x
1000,1.52,,0.01,mse,0.3308552257820677,x
1000,1.52,,0.01,phase_mse,0.330042474437918,x
1000,1.54,200.0,0.01,SE,0.2576455622533013,x
1000,1.54,200.0,0.01,EP,0.4184614776457537,x
1000,1.54,,0.01,mse,0.45844239301141676,x
1000,1.54,,0.01,phase_mse,0.4582734256275313,x
1000,1.56,200.0,0.01,SE,0.23062673715330087,x
1000,1.56,200.0,0.01,EP,0.3907746715574747,x
1000,1.56,,0.01,mse,0.9653474960547231,x
1000,1.56,,0.01,phase_mse,0.43521709610545256,x
1000,1.58,200.0,0.01,SE,0.19659396352514702,x
1000,1.58,200.0,0.01,EP,0.2686520177477196,x
1000,1.58,,0.01,mse,1.0395029153472846,x
1000,1.58,,0.01,phase_mse,0.3098839526997027,x
1000,1.6,200.0,0.01,SE,0.13449357992034525,x
1000,1.6,200.0,0.01,EP,0.22004785660957163,x
1000,1.6,,0.01,mse,1.1868201006652461,x
1000,1.6,,0.01,phase_mse,0.2123954891180392,x
1000,1.62,200.0,0.01,SE,0.01050961717053472,x
1000,1.62,187.0,0.01,EP,1.930184971333888e-06,x
1000,1.62,,0.01,mse,2.057155933057865,x
1000,1.62,,0.01,phase_mse,0.0005164887917892125,x
1000,1.6400000000000001,191.0,0.01,SE,1.2883937283988351e-06,x
1000,1.6400000000000001,200.0,0.01,EP,0.00023991862141426303,x
1000,1.6400000000000001,,0.01,mse,0.00016878714474933648,x
1000,1.6400000000000001,,0.01,phase_mse,0.00016878714474933648,x
1000,1.6600000000000001,165.0,0.01,SE,1.7521183566154114e-06,x
1000,1.6600000000000001,120.0,0.01,EP,1.0763585077081074e-06,x
1000,1.6600000000000001,,0.01,mse,6.620075769598267e-07,x
1000,1.6600000000000001,,0.01,phase_mse,6.620075769598267e-07,x
1000,1.68,150.0,0.01,SE,1.2530650997770964e-06,x
1000,1.68,113.0,0.01,EP,1.3562381261282195e-06,x
1000,1.68,,0.01,mse,6.947609985295496e-07,x
1000,1.68,,0.01,phase_mse,6.947609985295496e-07,x
1000,1.7,138.0,0.01,SE,1.3189350517202497e-06,x
1000,1.7,102.0,0.01,EP,1.223661116680814e-06,x
1000,1.7,,0.01,mse,0.9798863622053002,x
1000,1.7,,0.01,phase_mse,0.00012411773154779655,x
1000,1.72,128.0,0.01,SE,1.4069648469393612e-06,x
1000,1.72,97.0,0.01,EP,9.009682267940883e-07,x
1000,1.72,,0.01,mse,1.0212333579387924,x
1000,1.72,,0.01,phase_mse,0.00012851765248032138,x
1000,1.74,121.0,0.01,SE,1.082020823579422e-06,x
1000,1.74,200.0,0.01,EP,0.00033159771864153337,x
1000,1.74,,0.01,mse,0.9607598304105347,x
1000,1.74,,0.01,phase_mse,0.0003261189696633957,x
1000,1.76,115.0,0.01,SE,1.0430345549928865e-06,x
1000,1.76,127.0,0.01,EP,1.0376789629367388e-06,x
1000,1.76,,0.01,mse,3.732877042727196e-07,x
1000,1.76,,0.01,phase_mse,3.732877042727196e-07,x
1000,1.78,109.0,0.01,SE,1.3636610519037511e-06,x
1000,1.78,90.0,0.01,EP,1.3622566593578128e-06,x
1000,1.78,,0.01,mse,6.256915497600158e-07,x
1000,1.78,,0.01,phase_mse,6.256915497599985e-07,x
1000,1.8,105.0,0.01,SE,9.867296165931254e-07,x
1000,1.8,83.0,0.01,EP,1.070364982481078e-06,x
1000,1.8,,0.01,mse,2.083258581576768,x
1000,1.8,,0.01,phase_mse,0.0005244094226611282,x
1000,1.82,101.0,0.01,SE,1.0177649835203685e-06,x
1000,1.82,76.0,0.01,EP,1.077630641414774e-06,x
1000,1.82,,0.01,mse,3.5184890781137447e-07,x
1000,1.82,,0.01,phase_mse,3.5184890781137447e-07,x
1000,1.84,97.0,0.01,SE,1.1561543897440296e-06,x
1000,1.84,77.0,0.01,EP,8.066073830369872e-07,x
1000,1.84,,0.01,mse,1.0687458834743795,x
1000,1.84,,0.01,phase_mse,0.00013400667347655473,x
1000,1.86,94.0,0.01,SE,9.847706104694432e-07,x
