N,alpha,f,n_iter,prior_rho,source,v,x_id
1000,0.6938775510204082,abs,200.0,0.5,EP,0.04270083574509929,x
1000,0.6938775510204082,abs,,0.5,mse,0.0878726950015727,x
1000,0.7142857142857142,abs,32.0,0.5,SE,4.1974727397783425e-07,x
1000,0.7142857142857142,abs,36.0,0.5,EP,3.2080133846277354e-07,x
1000,0.7142857142857142,abs,,0.5,mse,4.4421812484573494e-07,x
1000,0.7346938775510203,abs,24.0,0.5,SE,4.3750172325847237e-07,x
1000,0.7346938775510203,abs,21.0,0.5,EP,6.218889199838985e-07,x
1000,0.7346938775510203,abs,,0.5,mse,1.0539066695162417e-06,x
1000,0.7551020408163265,abs,20.0,0.5,SE,2.1350180014887966e-07,x
1000,0.7551020408163265,abs,21.0,0.5,EP,1.809602603096124e-07,x
1000,0.7551020408163265,abs,,0.5,mse,1.875669749922702e-07,x
1000,0.7755102040816326,abs,17.0,0.5,SE,2.0341878350726321e-07,x
1000,0.7755102040816326,abs,17.0,0.5,EP,1.4432665868245487e-07,x
1000,0.7755102040816326,abs,,0.5,mse,1.5181653815184522e-07,x
1000,0.7959183673469387,abs,15.0,0.5,SE,1.395768311832142e-07,x
1000,0.7959183673469387,abs,15.0,0.5,EP,2.0289405961425296e-07,x
1000,0.7959183673469387,abs,,0.5,mse,2.852533834370182e-07,x
1000,0.8163265306122448,abs,13.0,0.5,SE,1.5722105478069e-07,x
1000,0.8163265306122448,abs,12.0,0.5,EP,8.150448241752603e-08,x
1000,0.8163265306122448,abs,,0.5,mse,1.0634629110472277e-07,x
1000,0.836734693877551,abs,12.0,0.5,SE,7.024495424047493e-08,x
1000,0.836734693877551,abs,12.0,0.5,EP,3.058532031499751e-07,x
1000,0.836734693877551,abs,,0.5,mse,6.001721048788175e-07,x
1000,0.8571428571428571,abs,10.0,0.5,SE,2.0704867202407812e-07,x
1000,0.8571428571428571,abs,11.0,0.5,EP,1.7875048730775804e-07,x
1000,0.8571428571428571,abs,,0.5,mse,1.988168558083957e-07,x
1000,0.8775510204081632,abs,9.0,0.5,SE,1.6782418063068728e-07,x
1000,0.8775510204081632,abs,10.0,0.5,EP,1.605509142857194e-07,x
1000,0.8775510204081632,abs,,0.5,mse,1.6592943788279508e-07,x
1000,0.8979591836734693,abs,9.0,0.5,SE,1.9366480017377126e-08,x
1000,0.8979591836734693,abs,9.0,0.5,EP,4.715715699542845e-08,x
1000,0.8979591836734693,abs,,0.5,mse,5.985701560409575e-08,x
1000,0.9183673469387754,abs,8.0,0.5,SE,1.577438281260126e-08,x
1000,0.9183673469387754,abs,8.0,0.5,EP,2.7319535544896053e-08,x
1000,0.9183673469387754,abs,,0.5,mse,3.690703062149658e-08,x
