N,alpha,ensemble_type,n_iter,prior_rho,source,v,x_id
1000,0.3061224489795918,gaussian,9.0,0.5,EP,0.35264743464884246,x
1000,0.3061224489795918,gaussian,,0.5,mse,0.3540157530322282,x
1000,0.32653061224489793,gaussian,6.0,0.5,SE,0.32198269695226145,x
1000,0.32653061224489793,gaussian,10.0,0.5,EP,0.3222111385300505,x
1000,0.32653061224489793,gaussian,,0.5,mse,0.3297275652229006,x
1000,0.3469387755102041,gaussian,7.0,0.5,SE,0.3096212747665522,x
1000,0.3469387755102041,gaussian,10.0,0.5,EP,0.31439802885928747,x
1000,0.3469387755102041,gaussian,,0.5,mse,0.27163668889673653,x
1000,0.36734693877551017,gaussian,7.0,0.5,SE,0.2964358245886814,x
1000,0.36734693877551017,gaussian,10.0,0.5,EP,0.2951676735162381,x
1000,0.36734693877551017,gaussian,,0.5,mse,0.329879392423397,x
1000,0.3877551020408163,gaussian,7.0,0.5,SE,0.28367678857612394,x
1000,0.3877551020408163,gaussian,10.0,0.5,EP,0.3040398806372134,x
1000,0.3877551020408163,gaussian,,0.5,mse,0.29627336487826345,x
1000,0.4081632653061224,gaussian,8.0,0.5,SE,0.2700608101477384,x
1000,0.4081632653061224,gaussian,11.0,0.5,EP,0.27804156472369534,x
1000,0.4081632653061224,gaussian,,0.5,mse,0.29009074578796185,x
1000,0.42857142857142855,gaussian,8.0,0.5,SE,0.2568760588175404,x
1000,0.42857142857142855,gaussian,13.0,0.5,EP,0.24716889140682463,x
1000,0.42857142857142855,gaussian,,0.5,mse,0.24189679634717515,x
1000,0.44897959183673464,gaussian,9.0,0.5,SE,0.24346802998608244,x
1000,0.44897959183673464,gaussian,15.0,0.5,EP,0.24344129133721545,x
1000,0.44897959183673464,gaussian,,0.5,mse,0.31773612244948973,x
1000,0.4693877551020408,gaussian,9.0,0.5,SE,0.22913387752336933,x
1000,0.4693877551020408,gaussian,16.0,0.5,EP,0.22027618273315744,x
1000,0.4693877551020408,gaussian,,0.5,mse,0.20992231035005535,x
1000,0.4897959183673469,gaussian,10.0,0.5,SE,0.21521881556099723,x
1000,0.4897959183673469,gaussian,14.0,0.5,EP,0.19147421529162248,x
1000,0.4897959183673469,gaussian,,0.5,mse,0.21712317398701025,x
1000,0.5102040816326531,gaussian,10.0,0.5,SE,0.20030383999758283,x
1000,0.5102040816326531,gaussian,15.0,0.5,EP,0.19749572716227598,x
1000,0.5102040816326531,gaussian,,0.5,mse,0.20335524721377118,x
1000,0.5306122448979591,gaussian,11.0,0.5,SE,0.18577333188773412,x
1000,0.5306122448979591,gaussian,15.0,0.5,EP,0.17542350356411973,x
1000,0.5306122448979591,gaussian,,0.5,mse,0.17796113960093954,x
1000,0.5510204081632653,gaussian,12.0,0.5,SE,0.17012172907084822,x
1000,0.5510204081632653,gaussian,19.0,0.5,EP,0.1606963955285545,x
1000,0.5510204081632653,gaussian,,0.5,mse,0.16540490569750488,x
1000,0.5714285714285714,gaussian,13.0,0.5,SE,0.1547682154141847,x
1000,0.5714285714285714,gaussian,24.0,0.5,EP,0.1616713743318031,x
1000,0.5714285714285714,gaussian,,0.5,mse,0.17378129490266941,x
1000,0.5918367346938775,gaussian,15.0,0.5,SE,0.13887288481051743,x
1000,0.5918367346938775,gaussian,18.0,0.5,EP,0.16082517124982817,x
1000,0.5918367346938775,gaussian,,0.5,mse,0.15373464135364487,x
1000,0.6122448979591836,gaussian,17.0,0.5,SE,0.12141670011182484,x
1000,0.6122448979591836,gaussian,17.0,0.5,EP,0.12470137992016733,x
1000,0.6122448979591836,gaussian,,0.5,mse,0.1682790632912234,x
1000,0.6326530612244897,gaussian,21.0,0.5,SE,0.1037471921262377,x
1000,0.6326530612244897,gaussian,104.0,0.5,EP,0.024946171145551567,x
1000,0.6326530612244897,gaussian,,0.5,mse,0.033204566377647356,x
1000,0.6530612244897959,gaussian,27.0,0.5,SE,0.08337048392223533,x
1000,0.6530612244897959,gaussian,60.0,0.5,EP,0.0625802909013249,x
1000,0.6530612244897959,gaussian,,0.5,mse,0.04868870050384014,x
1000,0.673469387755102,gaussian,44.0,0.5,SE,0.06002835628577428,x
1000,0.673469387755102,gaussian,41.0,0.5,EP,0.08609183505836558,x
1000,0.673469387755102,gaussian,,0.5,mse,0.06285561273075904,x
1000,0.6938775510204082,gaussian,61.0,0.5,SE,4.2176167378196697e-07,x
1000,0.6938775510204082,gaussian,40.0,0.5,EP,4.5577678387298244e-07,x
1000,0.6938775510204082,gaussian,,0.5,mse,3.355816883025472e-07,x
1000,0.7142857142857142,gaussian,32.0,0.5,SE,4.196556447368888e-07,x
1000,0.7142857142857142,gaussian,72.0,0.5,EP,4.1717563493616906e-07,x
1000,0.7142857142857142,gaussian,,0.5,mse,6.524422077529002e-07,x
1000,0.7346938775510203,gaussian,24.0,0.5,SE,4.3741041030562124e-07,x
1000,0.7346938775510203,gaussian,31.0,0.5,EP,2.563122704489919e-07,x
1000,0.7346938775510203,gaussian,,0.5,mse,2.2360846110572457e-07,x
1000,0.7551020408163265,gaussian,20.0,0.5,SE,2.1340752145101213e-07,x
1000,0.7551020408163265,gaussian,19.0,0.5,EP,1.6960573104920424e-07,x
1000,0.7551020408163265,gaussian,,0.5,mse,1.759616125106005e-07,x
1000,0.7755102040816326,gaussian,17.0,0.5,SE,2.0332435752183971e-07,x
1000,0.7755102040816326,gaussian,16.0,0.5,EP,2.1893566398078802e-07,x
1000,0.7755102040816326,gaussian,,0.5,mse,1.9863618393518293e-07,x
1000,0.7959183673469387,gaussian,15.0,0.5,SE,1.3947816205014626e-07,x
1000,0.7959183673469387,gaussian,13.0,0.5,EP,1.7539500510263647e-07,x
1000,0.7959183673469387,gaussian,,0.5,mse,2.0173212018601302e-07,x
1000,0.8163265306122448,gaussian,13.0,0.5,SE,1.5711210172186303e-07,x
1000,0.8163265306122448,gaussian,13.0,0.5,EP,1.1428817371796758e-07,x
1000,0.8163265306122448,gaussian,,0.5,mse,1.0909336732350228e-07,x
1000,0.836734693877551,gaussian,12.0,0.5,SE,7.012642740393014e-08,x
1000,0.836734693877551,gaussian,11.0,0.5,EP,4.472366499500424e-08,x
1000,0.836734693877551,gaussian,,0.5,mse,3.9198348772279044e-08,x
1000,0.8571428571428571,gaussian,10.0,0.5,SE,2.069175994356521e-07,x
1000,0.8571428571428571,gaussian,11.0,0.5,EP,1.217347293057233e-07,x
1000,0.8571428571428571,gaussian,,0.5,mse,1.481683509988885e-07,x
1000,0.8775510204081632,gaussian,9.0,0.5,SE,1.6768063343215584e-07,x
1000,0.8775510204081632,gaussian,9.0,0.5,EP,8.664654110676653e-08,x
1000,0.8775510204081632,gaussian,,0.5,mse,7.196516582019444e-08,x
1000,0.8979591836734693,gaussian,9.0,0.5,SE,1.919036020930684e-08,x
1000,0.8979591836734693,gaussian,9.0,0.5,EP,7.408766483866729e-08,x
1000,0.8979591836734693,gaussian,,0.5,mse,6.952779828699882e-08,x
1000,0.9183673469387754,gaussian,8.0,0.5,SE,1.5553108746782546e-08,x
1000,0.9183673469387754,gaussian,8.0,0.5,EP,1.349472660068707e-08,x
1000,0.9183673469387754,gaussian,,0.5,mse,1.7294024163459866e-08,x
1000,0.9387755102040816,gaussian,7.0,0.5,SE,1.5217469763154954e-08,x
1000,0.9387755102040816,gaussian,7.0,0.5,EP,1.1914748374794859e-08,x
1000,0.9387755102040816,gaussian,,0.5,mse,1.0267609008162715e-08,x
1000,0.9591836734693877,gaussian,6.0,0.5,SE,1.200241475464347e-08,x
1000,0.9591836734693877,gaussian,6.0,0.5,EP,1.0420697168887198e-08,x
1000,0.9591836734693877,gaussian,,0.5,mse,4.9980333055308085e-09,x
1000,0.9795918367346939,gaussian,5.0,0.5,SE,6.523972057042211e-09,x
1000,0.9795918367346939,gaussian,5.0,0.5,EP,1.170482136182445e-08,x
1000,0.9795918367346939,gaussian,,0.5,mse,2.2321433770863408e-08,x
1000,1.0,gaussian,2.0,0.5,SE,5.033883487265086e-10,x
1000,1.0,gaussian,2.0,0.5,EP,5.073106258314639e-10,x
1000,1.0,gaussian,,0.5,mse,4.353267439329202e-10,x
1000,0.02040816326530612,gaussian,2.0,0.75,SE,0.734999020339751,x
1000,0.02040816326530612,gaussian,4.0,0.75,EP,0.7361435852263348,x
1000,0.02040816326530612,gaussian,,0.75,mse,0.695834382129523,x
1000,0.04081632653061224,gaussian,3.0,0.75,SE,0.7199923294465328,x
1000,0.04081632653061224,gaussian,4.0,0.75,EP,0.7207192556487846,x
1000,0.04081632653061224,gaussian,,0.75,mse,0.8329620901436007,x
1000,0.061224489795918366,gaussian,3.0,0.75,SE,0.7042234253431385,x
1000,0.061224489795918366,gaussian,4.0,0.75,EP,0.7040703105985736,x
1000,0.061224489795918366,gaussian,,0.75,mse,0.6784947610847357,x
1000,0.08163265306122448,gaussian,3.0,0.75,SE,0.689189188794535,x
1000,0.08163265306122448,gaussian,4.0,0.75,EP,0.6842102057361873,x
1000,0.08163265306122448,gaussian,,0.75,mse,0.7620847682785884,x
1000,0.1020408163265306,gaussian,3.0,0.75,SE,0.6733815106355666,x
1000,0.1020408163265306,gaussian,5.0,0.75,EP,0.6739887205831916,x
1000,0.1020408163265306,gaussian,,0.75,mse,0.7186371907888256,x
1000,0.12244897959183673,gaussian,3.0,0.75,SE,0.6583019905303209,x
1000,0.12244897959183673,gaussian,5.0,0.75,EP,0.6542407728168512,x
1000,0.12244897959183673,gaussian,,0.75,mse,0.6417326989050637,x
1000,0.14285714285714285,gaussian,3.0,0.75,SE,0.6431951216597325,x
