alpha,source,rho,v
0.8200000000000001,BO,0.6,2.8174663382206597e-05
0.8300000000000001,SE,0.6,0.43284897317368964
0.8300000000000001,BO,0.6,5.8363984364357147e-05
0.8400000000000001,SE,0.6,0.42398547871734343
0.8400000000000001,BO,0.6,4.6675834243798665e-05
0.85,SE,0.6,0.41468657617217053
0.85,BO,0.6,3.689385162925396e-05
0.86,SE,0.6,0.40502693672457357
0.86,BO,0.6,2.8774350251438163e-05
0.87,SE,0.6,0.39491717923320335
0.87,BO,0.6,2.209844685672632e-05
0.88,SE,0.6,0.38424753726577615
0.88,BO,0.6,1.6669662813680656e-05
0.89,SE,0.6,0.3730827757985225
0.89,BO,0.6,1.2311769537166492e-05
0.9,SE,0.6,0.3612238022138681
0.9,BO,0.6,8.866857238051087e-06
0.91,SE,0.6,0.3486420979674265
0.91,BO,0.6,6.193599793440029e-06
0.92,SE,0.6,0.33521574714566127
0.92,BO,0.6,4.125084355756752e-06
0.93,SE,0.6,0.3207798362132633
0.93,BO,0.6,2.616317271422829e-06
0.9400000000000001,SE,0.6,0.30500722297106536
0.9400000000000001,BO,0.6,1.593264061581382e-06
0.9500000000000001,SE,0.6,0.2875130581470296
0.9500000000000001,BO,0.6,1.0382372057623927e-05
0.9600000000000001,SE,0.6,0.267641321654324
0.9600000000000001,BO,0.6,6.481830903337142e-06
0.97,SE,0.6,0.24386984740765055
0.97,BO,0.6,3.5482069767134284e-06
0.98,SE,0.6,0.2116887279159978
0.98,BO,0.6,1.5287151010909124e-06
0.99,SE,0.6,1.4958434992582797e-07
0.99,BO,0.6,3.6057590487218097e-07
1.0,SE,0.6,3.1540712412090454e-09
1.0,BO,0.6,1.4952626644496613e-09
1.01,SE,0.6,1.1071404587639246e-10
1.01,BO,0.6,1.1071180736391537e-10
1.02,SE,0.6,7.505177518721212e-11
1.02,BO,0.6,7.505140857385811e-11
1.03,SE,0.6,5.934119247172492e-11
1.03,BO,0.6,5.934105323820164e-11
1.04,SE,0.6,5.0025258961785403e-11
1.04,BO,0.6,5.002519875655195e-11
1.05,SE,0.6,4.370042776195908e-11
1.05,BO,0.6,4.3700393826261746e-11
1.06,SE,0.6,3.9055175808888204e-11
1.06,BO,0.6,3.90551553399365e-11
1.07,SE,0.6,3.5462826547408254e-11
1.07,BO,0.6,3.5462812566721885e-11
1.08,SE,0.6,3.2581319251084236e-11
1.08,BO,0.6,3.2581308006422383e-11
1.09,SE,0.6,3.0206088465380416e-11
1.09,BO,0.6,3.0206081450563675e-11
1.1,SE,0.6,2.820634433965049e-11
1.1,BO,0.6,2.8206339180768392e-11
1.11,SE,0.6,2.649406236390097e-11
1.11,BO,0.6,2.6494058703743827e-11
1.12,SE,0.6,2.5007555422467664e-11
1.12,BO,0.6,2.5007552238145012e-11
1.1300000000000001,SE,0.6,2.3702144137280015e-11
1.1300000000000001,BO,0.6,2.3702140704111105e-11
1.1400000000000001,SE,0.6,2.254457362080086e-11
1.1400000000000001,BO,0.6,2.254457039573293e-11
1.1500000000000001,SE,0.6,2.1509517404822803e-11
1.1500000000000001,BO,0.6,2.1509515810546854e-11
1.1600000000000001,SE,0.6,2.0577309511002132e-11
1.1600000000000001,BO,0.6,2.0577307909853632e-11
1.17,SE,0.6,1.973240932664093e-11
1.17,BO,0.6,1.973240836194516e-11
1.18,SE,0.6,1.8962362273330112e-11
1.18,BO,0.6,1.896236040290971e-11
1.19,SE,0.6,1.825704610863719e-11
1.19,BO,0.6,1.825704563473543e-11
1.2,SE,0.6,1.7608150170020428e-11
1.2,BO,0.6,1.760815003123321e-11
